id,first_name,last_name,email,gender,ip_address,cgpa,passing_year,department,attendance,home_district,abroad_study,student_id,graduation_date,study_abroad_country,study_abroad_city,hsc_gpa,ssc_gpa
1,Fraser,Petschelt,fpetschelt0@craigslist.org,Male,22.110.131.206,0.13,2000,Business,63.56,Houston,false,1,2015,France,Laon,5,5
2,Si,Skottle,sskottle1@squarespace.com,Male,230.8.97.7,,2023,Arts,76.0,Miami,true,2,2014,China,Changqiao,1,3
3,Barbi,Seedhouse,bseedhouse2@miibeian.gov.cn,Female,212.118.50.163,,2015,Computer Science,9.91,Houston,false,3,2013,China,Luxi,2,1
4,Shadow,Scarff,sscarff3@walmart.com,Male,43.41.240.67,3.27,2024,Arts,90.09,New York,true,4,2012,Brazil,Chã Grande,5,2
5,Karim,Domenicone,kdomenicone4@sakura.ne.jp,Male,29.33.96.28,0.2,2025,Arts,91.36,Miami,false,5,2008,Sweden,Enköping,5,5
6,Ottilie,Adlem,oadlem5@house.gov,Female,243.180.33.126,3.57,2023,Computer Science,21.54,Houston,true,6,2005,Poland,Szczaniec,4,4
7,Raddy,Carnoghan,rcarnoghan6@va.gov,Male,35.196.160.224,2.09,,Computer Science,7.64,Miami,false,7,2018,Latvia,Pļaviņas,4,2
8,Lori,McQuarrie,lmcquarrie7@engadget.com,Female,149.185.59.153,,2000,Medicine,98.09,Miami,true,8,2004,Peru,Choco,2,5
9,Timoteo,Siddons,tsiddons8@ovh.net,Male,29.233.55.116,2.95,2006,Arts,14.66,Houston,false,9,2004,Russia,Paratunka,1,2
10,Cordi,Wegener,cwegener9@creativecommons.org,Agender,118.74.222.69,0.5,2005,Computer Science,4.71,Houston,false,10,2013,Peru,Ayrihuanca,5,5
11,Vi,Drinnan,vdrinnana@fotki.com,Female,109.105.101.205,,2021,Computer Science,96.01,Houston,true,11,2013,Yemen,Dhahi,2,2
12,Sal,MacMurray,smacmurrayb@github.io,Female,148.180.221.82,3.42,2013,Business,0.99,Houston,true,12,0,Peru,Obas,5,5
13,Nita,Cloutt,nclouttc@rediff.com,Female,149.243.83.252,3.54,2008,Medicine,4.18,Miami,true,13,2009,China,Shuanggang,2,2
14,Carlo,Weekley,cweekleyd@pcworld.com,Male,254.100.89.234,,2002,Business,22.06,New York,true,14,2002,China,Beiquan,1,1
15,Wade,Stag,wstage@webmd.com,Male,2.74.73.142,,,Medicine,,Los Angeles,true,15,2008,France,Cergy-Pontoise,1,5
16,Renato,Behnecken,rbehneckenf@virginia.edu,Male,108.204.184.25,,2017,Business,95.03,Houston,true,16,2017,Ireland,Castlemartyr,1,2
17,Sharia,Filmer,sfilmerg@slideshare.net,Female,149.164.108.54,3.39,2023,Computer Science,35.01,Houston,true,17,2013,China,Xugu,3,3
18,Jaquelin,Hoffman,jhoffmanh@xinhuanet.com,Female,20.16.5.131,,2025,Medicine,,Miami,true,18,2015,Portugal,Vila Chã de Ourique,1,5
19,Allegra,Comport,acomporti@mapy.cz,Female,77.240.233.221,1.32,2022,Engineering,78.91,Houston,false,19,2011,Canada,Charlottetown,3,5
20,Nichole,Stoney,nstoneyj@delicious.com,Male,73.110.14.60,2.78,2006,Medicine,6.78,Chicago,true,20,2006,Bolivia,San Matías,4,2
21,Ted,Willingam,twillingamk@cisco.com,Male,15.126.213.49,1.8,2004,Engineering,95.54,Chicago,true,21,0,Brazil,São Miguel do Araguaia,1,1
22,Abra,Brownsword,abrownswordl@go.com,Female,32.32.204.132,0.82,2017,Business,49.74,Chicago,false,22,2011,Guatemala,Zaragoza,2,4
23,Guillema,Cockhill,gcockhillm@friendfeed.com,Female,107.27.210.121,2.08,2013,Engineering,2.96,Los Angeles,false,23,2016,Guinea,Forécariah,2,2
24,Thaine,Carbert,tcarbertn@opensource.org,Male,24.99.135.193,1.31,2006,Medicine,0.97,Houston,false,24,2014,Indonesia,Cirumput,3,1
25,Jayson,Leddie,jleddieo@ycombinator.com,Male,63.220.225.193,3.23,2022,Computer Science,19.65,Los Angeles,true,25,2003,Philippines,Malinao,3,2
26,Ernest,Sharrier,esharrierp@blogs.com,Male,89.93.157.211,2.2,2017,Business,76.75,Chicago,true,26,2004,Peru,Checca,2,5
27,Walden,Fiddyment,wfiddymentq@oakley.com,Male,174.128.36.36,0.99,2017,Computer Science,40.76,Miami,true,27,2008,Brazil,São José do Egito,1,4
28,Idette,Boanas,iboanasr@prlog.org,Female,168.5.183.38,0.32,2004,Arts,12.01,Los Angeles,false,28,2013,Brazil,Vitória do Mearim,2,2
29,Guido,Benedidick,gbenedidicks@amazonaws.com,Male,106.0.46.24,3.76,2000,Computer Science,23.15,New York,true,29,2017,Russia,Bureya,2,2
30,Shae,Pursglove,spursglovet@rambler.ru,Male,138.207.61.148,1.51,2017,Arts,3.25,Chicago,false,30,2014,Mongolia,Horgo,1,4
31,Jerrine,Tingly,jtinglyu@yelp.com,Female,24.58.66.226,0.29,2019,Computer Science,58.61,Los Angeles,false,31,2019,France,Cernay,3,3
32,Valle,Baine,vbainev@google.com.au,Male,110.149.15.79,3.9,2022,Computer Science,70.92,Chicago,true,32,2014,Greece,Vília,3,5
33,Louie,Swaysland,lswayslandw@indiegogo.com,Male,223.44.22.157,2.3,2015,Engineering,68.49,Chicago,true,33,2014,Tanzania,Bunda,5,2
34,Morlee,Peterffy,mpeterffyx@icio.us,Male,136.150.66.59,0.43,2004,Engineering,17.43,Houston,false,34,2013,Indonesia,Benger,1,5
35,Darsie,Suter,dsutery@dell.com,Female,122.171.78.159,3.99,2009,Arts,,Los Angeles,false,35,2009,Indonesia,Dlemer,2,3
36,Keith,Piner,kpinerz@fda.gov,Male,213.60.85.1,4.0,2020,Medicine,72.63,Houston,true,36,2016,China,Songyuan,3,3
37,Merrel,Neighbour,mneighbour10@miitbeian.gov.cn,Male,44.197.46.189,0.11,2000,Business,20.71,Miami,true,37,2015,Venezuela,Las Vegas,5,3
38,Maryellen,Bishopp,mbishopp11@360.cn,Female,57.62.93.111,1.37,2009,Engineering,62.89,Los Angeles,false,38,2010,Indonesia,Depok,3,5
39,Montgomery,Ardern,mardern12@forbes.com,Non-binary,0.209.78.227,2.72,2002,Computer Science,47.15,Chicago,false,39,2011,Tanzania,Masuguru,2,2
40,Kissiah,Steele,ksteele13@ustream.tv,Female,76.48.198.92,1.62,2013,Computer Science,13.97,Los Angeles,false,40,2010,China,Huangtang,2,2
41,Yurik,Clow,yclow14@php.net,Male,248.165.27.104,3.02,2007,Arts,56.75,Chicago,false,41,2014,Russia,Srostki,2,3
42,Cindee,Croyden,ccroyden15@usatoday.com,Female,175.166.255.100,2.37,2012,Computer Science,74.78,Los Angeles,true,42,2014,Argentina,Chimbas,2,3
43,Phillipe,Harding,pharding16@mozilla.com,Male,181.234.191.154,1.97,,Engineering,55.25,Chicago,false,43,0,Democratic Republic of the Congo,Tshela,5,5
44,Ralina,Hawe,rhawe17@prnewswire.com,Female,9.241.121.192,1.18,2004,Medicine,82.86,Chicago,true,44,2003,Indonesia,Emplak,4,2
45,Michel,Adamini,madamini18@pagesperso-orange.fr,Male,99.157.49.84,1.41,2003,Business,71.07,Miami,false,45,2016,Laos,Pakxong,1,4
46,Olimpia,Dominiak,odominiak19@ucoz.ru,Female,71.65.210.234,,2007,Medicine,4.24,Chicago,true,46,2014,Cuba,Matanzas,1,4
47,Kristofer,Dunnett,kdunnett1a@rambler.ru,Male,150.30.50.49,1.92,2014,Arts,12.19,Houston,false,47,2010,China,Beiguoyuan,4,1
48,Alleen,Ledger,aledger1b@ezinearticles.com,Female,85.137.169.123,3.15,2016,Arts,89.65,Chicago,true,48,2012,El Salvador,Delgado,2,4
49,Addison,Grabham,agrabham1c@domainmarket.com,Male,162.38.59.196,3.17,2023,Medicine,21.18,Miami,false,49,2008,Albania,Karinë,4,5
50,Petrina,Janas,pjanas1d@time.com,Female,11.128.158.92,2.16,2009,Medicine,58.23,Miami,false,50,0,China,Hekou,5,5
51,Ephraim,Ashplant,eashplant1e@sfgate.com,Male,61.84.219.14,1.13,2018,Arts,67.34,Houston,false,51,2015,Philippines,Sillon,2,3
52,Rolando,Schiementz,rschiementz1f@biglobe.ne.jp,Male,51.188.230.212,0.61,2006,Business,12.42,Chicago,false,52,2009,Ireland,Drumcondra,3,3
53,Lyon,Leere,lleere1g@usnews.com,Male,66.103.121.246,1.77,2000,Engineering,66.35,Houston,true,53,2016,Poland,Wierzchowo,5,3
54,Shina,Verma,sverma1h@auda.org.au,Polygender,65.30.226.201,1.32,2002,Arts,28.34,Los Angeles,true,54,2014,Indonesia,Pule,1,4
55,Vinson,Winfrey,vwinfrey1i@ehow.com,Male,153.242.0.179,0.41,2012,Business,16.18,Houston,true,55,2012,Czech Republic,Police nad Metují,3,1
